timestamp,us,sy,idle,avm,fre,tps,ipkts,opkts,anomaly_prediction,anomaly_score
2025-05-29 16:25:00+00:00,21.867021276595743,43.79255319148936,34.287234042553195,888410.4627659575,1219191.164893617,31.243373493975902,253975823.70754716,377164769.490566,1,-0.4946965130330087
2025-05-29 16:30:00+00:00,21.66137566137566,43.75132275132275,34.51851851851852,887968.1587301587,1219587.7248677248,31.204790419161675,253978441.30503145,377167242.0157233,1,-0.49285470363777983
2025-05-29 16:35:00+00:00,21.673684210526314,43.72105263157895,34.578947368421055,887978.9052631579,1219526.6842105263,32.373652694610776,253981055.01875,377169704.175,1,-0.49214840181967323
2025-05-29 16:40:00+00:00,22.01063829787234,43.63297872340426,34.32446808510638,888545.7819148937,1218895.0638297873,32.49156626506024,253983750.663522,377172282.1981132,1,-0.48890191399991473
2025-05-29 16:45:00+00:00,21.4,43.77368421052632,34.757894736842104,889060.7368421053,1218132.6684210526,33.638323353293416,253986614.6,377175209.83125,1,-0.4895895084555981
2025-05-29 16:50:00+00:00,21.391534391534393,43.72486772486773,34.86243386243386,889246.2751322752,1217811.3597883598,32.42634730538922,253989237.1125,377177773.578125,1,-0.48806379240149256
2025-05-29 16:55:00+00:00,21.571428571428573,43.78835978835979,34.63492063492063,889103.5396825396,1217916.417989418,31.67710843373494,253991790.38607594,377180178.15189874,1,-0.49142660997928006
2025-05-29 17:00:00+00:00,21.576719576719576,43.883597883597886,34.51851851851852,877671.0687830688,1229071.3597883598,33.360479041916165,253994338.2610063,377182580.4779874,1,-0.49881018590752085
2025-05-29 17:05:00+00:00,21.417989417989418,43.77248677248677,34.67724867724868,877780.1746031746,1228926.0052910054,31.9710843373494,253996883.0408805,377184974.1918239,1,-0.4932757735698527
2025-05-29 17:10:00+00:00,21.842105263157894,43.910526315789475,34.257894736842104,878242.3263157895,1228423.2052631578,32.18682634730539,253999451.75625,377187393.4125,-1,-0.5001791196143068
2025-05-29 17:15:00+00:00,21.41578947368421,43.89473684210526,34.63157894736842,877828.8947368421,1228795.9631578948,31.123809523809523,254001984.26397514,377189775.636646,1,-0.49790771104976855
2025-05-29 17:20:00+00:00,21.847368421052632,43.67368421052632,34.37894736842105,877829.8263157895,1228758.4052631578,33.05868263473054,254004582.846875,377192226.075,1,-0.49376462417686257
2025-05-29 17:25:00+00:00,21.597883597883598,43.82539682539682,34.55555555555556,876623.5555555555,1229921.634920635,31.391616766467067,254007137.40880504,377194638.0408805,1,-0.49565400969097784
2025-05-29 17:30:00+00:00,21.51851851851852,43.8994708994709,34.523809523809526,876650.2962962963,1229860.3703703703,30.601197604790418,254009746.953125,377197098.990625,1,-0.4993453391857915
2025-05-29 17:35:00+00:00,21.8,43.73684210526316,34.421052631578945,876894.5157894737,1229575.8842105262,32.25060240963855,254012308.25157234,377199517.8490566,1,-0.4976230023096426
2025-05-29 17:40:00+00:00,21.66842105263158,43.82105263157895,34.51578947368421,876937.8631578947,1229494.7842105264,31.453892215568864,254014869.978125,377201931.115625,1,-0.49558446497909014
2025-05-29 17:45:00+00:00,21.88888888888889,43.60846560846561,34.407407407407405,876992.9365079365,1229400.5291005292,31.947305389221558,254017442.409375,377204359.51875,1,-0.4891212470606102
2025-05-29 17:50:00+00:00,21.357894736842105,43.857894736842105,34.794736842105266,876759.8368421053,1229594.7789473685,31.49047619047619,254020001.721875,377206774.821875,1,-0.4935986940900715
2025-05-29 17:55:00+00:00,21.666666666666668,43.67724867724868,34.65079365079365,876991.2804232804,1229327.3015873015,32.34491017964072,254022560.9,377209186.76875,1,-0.4881089703827865
2025-05-29 18:00:00+00:00,21.5,43.72872340425532,34.723404255319146,875947.1329787234,1230331.4521276595,31.277575757575757,254025019.19936708,377211503.9683544,1,-0.4916010727349616
2025-05-29 18:05:00+00:00,21.529411764705884,43.88770053475936,34.54545454545455,875732.2727272727,1230509.3636363635,30.98181818181818,254027401.25949368,377213748.01582277,-1,-0.5005444223861049
2025-05-29 18:10:00+00:00,21.837696335078533,43.82198952879581,34.287958115183244,877044.5445026178,1229151.9633507854,31.204790419161675,254029996.071875,377216219.746875,1,-0.49769256671152434
2025-05-29 18:15:00+00:00,21.664893617021278,43.765957446808514,34.420212765957444,877352.2978723404,1228803.074468085,30.936526946107783,254032576.68125,377218668.978125,1,-0.4976501865145538
2025-05-29 18:20:00+00:00,21.476190476190474,43.75132275132275,34.77248677248677,877229.5026455027,1228883.417989418,32.51566265060241,254035168.806962,377221107.3386076,1,-0.4899275936630269
2025-05-29 18:25:00+00:00,21.457894736842107,43.747368421052634,34.742105263157896,877243.4210526316,1228835.7,32.809580838323356,254037650.715625,377223442.55625,1,-0.49095255414821787
2025-05-29 18:30:00+00:00,21.66842105263158,43.73684210526316,34.59473684210526,877437.0368421052,1228599.4157894736,32.36190476190476,254040221.271875,377225875.8,1,-0.4947247149689968
2025-05-29 18:35:00+00:00,21.544973544973544,43.7989417989418,34.62433862433863,877308.4867724868,1228692.4338624338,31.726946107784432,254042795.7795031,377228302.7515528,1,-0.49440285999066963
2025-05-29 18:40:00+00:00,21.6282722513089,43.8848167539267,34.41884816753927,877498.6492146597,1228466.554973822,32.306586826347306,254045399.45,377230752.7375,-1,-0.5006818666870508
2025-05-29 18:45:00+00:00,21.510526315789473,43.93684210526316,34.48421052631579,875194.1842105263,1230749.0578947368,32.96094674556213,254047972.26708075,377233171.0590062,-1,-0.5017703724429107
2025-05-29 18:50:00+00:00,21.80628272251309,43.67015706806283,34.481675392670155,874972.3979057592,1230934.4816753927,31.621556886227545,254050546.509375,377235594.15,1,-0.4933556319948073
