timestamp,us,sy,idle,avm,fre
2025-05-12 10:50:00+00:00,63.439,21.0,43.0,0.0,0.0
2025-05-12 10:55:00+00:00,62.50816666666667,21.0,43.0,0.0,0.0
2025-05-12 11:00:00+00:00,61.577333333333335,21.0,43.0,0.0,0.0
2025-05-12 11:05:00+00:00,60.6465,21.0,43.0,0.0,0.0
2025-05-12 11:10:00+00:00,64.20578571428571,20.928571428571427,43.857142857142854,0.0,0.0
2025-05-12 11:15:00+00:00,62.931382978723406,21.659574468085108,43.51063829787234,0.0,0.0
2025-05-12 11:20:00+00:00,62.218244444444444,22.08888888888889,43.355555555555554,0.0,0.0
2025-05-12 11:25:00+00:00,62.91106382978724,21.595744680851062,43.57446808510638,0.0,0.0
2025-05-12 11:30:00+00:00,63.50121739130435,21.47826086956522,43.5,0.0,0.0
2025-05-12 11:35:00+00:00,63.25757446808511,21.19148936170213,43.255319148936174,0.0,0.0
2025-05-12 11:40:00+00:00,62.826543478260874,22.26086956521739,43.15217391304348,0.0,0.0
2025-05-12 11:45:00+00:00,62.30272340425532,22.46808510638298,43.12765957446808,0.0,0.0
2025-05-12 11:50:00+00:00,62.63754347826087,21.717391304347824,43.108695652173914,0.0,0.0
2025-05-12 11:55:00+00:00,63.38302127659574,21.02127659574468,43.297872340425535,0.0,0.0
2025-05-12 12:00:00+00:00,64.12271739130435,21.23913043478261,43.45652173913044,0.0,0.0
2025-05-12 12:05:00+00:00,62.295978723404254,21.51063829787234,43.723404255319146,0.0,0.0
2025-05-12 12:10:00+00:00,62.93558695652173,21.52173913043478,43.23913043478261,0.0,0.0
2025-05-12 12:15:00+00:00,63.15823404255319,21.404255319148938,43.638297872340424,0.0,0.0
2025-05-12 12:20:00+00:00,63.385446808510636,21.425531914893618,43.51063829787234,0.0,0.0
2025-05-12 12:25:00+00:00,63.73510638297873,21.19148936170213,43.4468085106383,0.0,0.0
2025-05-12 12:30:00+00:00,63.96217777777778,21.488888888888887,43.24444444444445,0.0,0.0
2025-05-12 12:35:00+00:00,63.100361702127664,21.404255319148938,43.4468085106383,0.0,0.0
2025-05-12 12:40:00+00:00,63.79404761904762,21.738095238095237,42.976190476190474,0.0,0.0
2025-05-12 12:45:00+00:00,62.36993181818182,22.681818181818183,43.56818181818182,0.0,0.0
2025-05-12 12:50:00+00:00,62.809533333333334,22.533333333333335,42.9,0.0,0.0
2025-05-12 12:55:00+00:00,63.30114705882353,21.941176470588236,43.11764705882353,0.0,0.0
2025-05-12 13:00:00+00:00,63.74751063829787,21.06382978723404,43.319148936170215,0.0,0.0
2025-05-12 13:05:00+00:00,63.61675555555556,21.822222222222223,43.17777777777778,0.0,0.0
2025-05-12 13:10:00+00:00,62.9101282051282,21.41025641025641,43.41025641025641,0.0,0.0
2025-05-12 13:15:00+00:00,62.23613043478261,22.217391304347824,43.15217391304348,0.0,0.0
2025-05-12 13:20:00+00:00,63.43739130434783,21.369565217391305,43.19565217391305,0.0,0.0
2025-05-12 13:25:00+00:00,62.846936170212764,21.617021276595743,43.659574468085104,0.0,0.0
2025-05-12 13:30:00+00:00,63.15893548387096,21.677419354838708,43.20967741935484,0.0,0.0
2025-05-12 13:35:00+00:00,63.64444927536231,21.782608695652176,43.10144927536232,0.0,0.0
2025-05-12 13:40:00+00:00,64.22576086956522,21.217391304347824,43.08695652173913,0.0,0.0
2025-05-12 13:45:00+00:00,61.153354838709674,24.387096774193548,42.74193548387097,0.0,0.0
2025-05-12 13:50:00+00:00,62.86485106382979,21.914893617021278,43.4468085106383,0.0,0.0
2025-05-12 13:55:00+00:00,61.86333404255319,22.24326241134752,43.59787234042553,0.0,0.0
2025-05-12 14:00:00+00:00,60.86181702127659,22.571631205673757,43.748936170212765,0.0,0.0
2025-05-12 14:05:00+00:00,59.860299999999995,22.9,43.9,0.0,0.0
2025-05-12 14:10:00+00:00,63.14819047619048,21.452380952380953,43.107142857142854,0.0,0.0
2025-05-12 14:15:00+00:00,62.69967032967033,21.65934065934066,43.175824175824175,0.0,0.0
2025-05-12 14:20:00+00:00,63.40582089552238,21.71641791044776,43.07462686567164,0.0,0.0
2025-05-12 14:25:00+00:00,64.1022564102564,21.0,43.15384615384615,0.0,0.0
2025-05-12 14:30:00+00:00,62.77268,21.52,43.18,0.0,0.0
2025-05-12 14:35:00+00:00,63.32364150943397,21.60377358490566,43.18867924528302,0.0,0.0
2025-05-12 14:40:00+00:00,64.37575,21.576923076923077,43.23076923076923,0.0,0.0
2025-05-12 14:45:00+00:00,63.6568813559322,21.220338983050848,43.13559322033898,0.0,0.0
2025-05-12 14:50:00+00:00,62.767892857142854,21.785714285714285,43.482142857142854,0.0,0.0
2025-05-12 14:55:00+00:00,63.34791666666667,21.55,43.11666666666667,0.0,0.0
2025-05-12 15:00:00+00:00,63.71740677966102,21.271186440677965,43.25423728813559,0.0,0.0
2025-05-12 15:05:00+00:00,63.41924590163934,21.918032786885245,42.85245901639344,0.0,0.0
2025-05-12 15:10:00+00:00,64.44708888888889,21.022222222222222,43.111111111111114,0.0,0.0
2025-05-12 15:15:00+00:00,63.626290322580644,21.64516129032258,43.12903225806452,0.0,0.0
2025-05-12 15:20:00+00:00,62.89675,21.403846153846153,43.28846153846154,0.0,0.0
2025-05-12 15:25:00+00:00,63.897688524590166,21.131147540983605,43.19672131147541,0.0,0.0
2025-05-12 15:30:00+00:00,64.05509259259259,21.0,43.18518518518518,0.0,0.0
2025-05-12 15:35:00+00:00,63.59305084745763,21.89830508474576,43.05084745762712,0.0,0.0
