timestamp,ipkts,opkts
2025-05-12 14:25:00+00:00,311777396.552381,470114165.37142855
2025-05-12 14:30:00+00:00,311780476.14,470117354.58
2025-05-12 14:35:00+00:00,311784048.1383648,470121049.0062893
2025-05-12 14:40:00+00:00,311787776.724359,470124881.9423077
2025-05-12 14:45:00+00:00,311791545.2643678,470128731.3448276
2025-05-12 14:50:00+00:00,311795780.2923977,470133093.4035088
2025-05-12 14:55:00+00:00,311799977.8055556,470137428.9611111
2025-05-12 15:00:00+00:00,311804058.55172414,470141613.25287354
2025-05-12 15:05:00+00:00,311808167.9672131,470145824.3169399
2025-05-12 15:10:00+00:00,311811903.4962963,470149668.11851853
2025-05-12 15:15:00+00:00,311815565.6719577,470153444.13756615
2025-05-12 15:20:00+00:00,311819599.09150326,470157597.2745098
2025-05-12 15:25:00+00:00,311823461.7759563,470161571.52459013
2025-05-12 15:30:00+00:00,311827495.2777778,470165734.7839506
2025-05-12 15:35:00+00:00,311831466.99435025,470169815.62711865
2025-05-12 15:40:00+00:00,311835795.7051282,470174281.44871795
2025-05-12 15:45:00+00:00,311839832.18079096,470178460.519774
2025-05-12 15:50:00+00:00,311843889.572327,470182643.0062893
2025-05-12 15:55:00+00:00,311847066.6923077,470185896.24786323
2025-05-12 16:00:00+00:00,311848637.8228938,470187561.23400486
2025-05-12 16:05:00+00:00,311850208.9534799,470189226.2201465
2025-05-12 16:10:00+00:00,311851780.0840659,470190891.20628816
2025-05-12 16:15:00+00:00,311853351.214652,470192556.1924298
2025-05-12 16:20:00+00:00,311854922.3452381,470194221.1785714
2025-05-12 16:25:00+00:00,311858259.2191781,470197607.1004566
2025-05-12 16:30:00+00:00,311863124.02816904,470202537.91549295
2025-05-12 16:35:00+00:00,311867899.3333333,470207374.962963
2025-05-12 16:40:00+00:00,311872579.425641,470212126.50256413
2025-05-12 16:45:00+00:00,311877330.987013,470216909.4978355
2025-05-12 16:50:00+00:00,311882445.9957806,470222069.93670887
2025-05-12 16:55:00+00:00,311887552.32905984,470227228.3974359
2025-05-12 17:00:00+00:00,311892408.627451,470232146.85294116
2025-05-12 17:05:00+00:00,311896992.03482586,470236786.46268654
2025-05-12 17:10:00+00:00,311901553.8047619,470241404.7095238
2025-05-12 17:15:00+00:00,311906092.7647059,470245992.0686275
2025-05-12 17:20:00+00:00,311910710.38235295,470250666.9607843
2025-05-12 17:25:00+00:00,311915156.0,470255176.8994709
2025-05-12 17:30:00+00:00,311919548.9292929,470259635.1111111
2025-05-12 17:35:00+00:00,311924167.74871796,470264276.47692305
2025-05-12 17:40:00+00:00,311928679.22751325,470268816.7407407
2025-05-12 17:45:00+00:00,311933403.725,470273602.9
2025-05-12 17:50:00+00:00,311938606.34166664,470278876.98333335
2025-05-12 17:55:00+00:00,311943949.0365854,470284288.9634146
2025-05-12 18:00:00+00:00,311948816.93333334,470289208.53333336
2025-05-12 18:05:00+00:00,311952473.8632479,470292939.3333333
2025-05-12 18:10:00+00:00,311956535.8875,470297065.34583336
2025-05-12 18:15:00+00:00,311961719.97530866,470302300.2222222
2025-05-12 18:20:00+00:00,311966944.55833334,470307587.35
2025-05-12 18:25:00+00:00,311972164.23333335,470312877.56666666
2025-05-12 18:30:00+00:00,311977451.52263373,470318241.7366255
2025-05-12 18:35:00+00:00,311982667.9625,470323523.95416665
2025-05-12 18:40:00+00:00,311987854.875,470328761.325
2025-05-12 18:45:00+00:00,311993145.58943087,470334112.41056913
2025-05-12 18:50:00+00:00,311998458.58436215,470339472.3127572
2025-05-12 18:55:00+00:00,312003680.5349794,470344759.2427983
2025-05-12 19:00:00+00:00,312008736.38812786,470349870.8356164
2025-05-12 19:05:00+00:00,312013804.27160496,470355007.39917696
2025-05-12 19:10:00+00:00,312019049.13580245,470360321.654321
2025-05-12 19:15:00+00:00,312024276.24390244,470365610.32520324
2025-05-12 19:20:00+00:00,312029633.06584364,470371026.4814815
2025-05-12 19:25:00+00:00,312034870.6300813,470376322.5081301
2025-05-12 19:30:00+00:00,312040197.4197531,470381713.19753087
2025-05-12 19:35:00+00:00,312045498.33739835,470387071.0609756
2025-05-12 19:40:00+00:00,312050741.05833334,470392381.25
2025-05-12 19:45:00+00:00,312055885.5063291,470397594.40084386
2025-05-12 19:50:00+00:00,312060799.7536232,470402590.3236715
2025-05-12 19:55:00+00:00,312065706.19166666,470407549.325
2025-05-12 20:00:00+00:00,312070582.662037,470412466.3287037
2025-05-12 20:05:00+00:00,312075102.880597,470417030.3233831
2025-05-12 20:10:00+00:00,312080067.4430894,470422058.64634144
2025-05-12 20:15:00+00:00,312085291.77366257,470427341.2633745
2025-05-12 20:20:00+00:00,312090587.25609756,470432701.3211382
2025-05-12 20:25:00+00:00,312095934.37398374,470438098.7804878
2025-05-12 20:30:00+00:00,312101299.8902439,470443519.87398374
2025-05-12 20:35:00+00:00,312106578.26748973,470448873.090535
2025-05-12 20:40:00+00:00,312111756.29113925,470454114.93248945
2025-05-12 20:45:00+00:00,312116984.3666667,470459416.3666667
2025-05-12 20:50:00+00:00,312122151.814346,470464660.3291139
2025-05-12 20:55:00+00:00,312127366.47325104,470469929.79012346
2025-05-12 21:00:00+00:00,312131960.52459013,470474597.15847
2025-05-12 21:05:00+00:00,312135617.31073445,470478340.24858755
2025-05-12 21:10:00+00:00,312138849.1627907,470481648.1085271
2025-05-12 21:15:00+00:00,312141587.8632479,470484472.51282054
2025-05-12 21:20:00+00:00,312144598.29931974,470487565.70068026
2025-05-12 21:25:00+00:00,312148290.4141414,470491318.54545456
